,e.ap.1,e.ap.2,e.b.1,e.b.2,e.p.ap.1,e.p.ap.2,e.p.b.1,e.p.b.1.rep,e.p.b.2,e.p.b.2.rep,e.p.pr.l.1,e.p.pr.l.2,e.pr.l.1,e.pr.l.2,pname,gene
Q8C4Q6,1,1,2493307.46,5628822.29,331964.0897,1,1014468.839,650692.2257,734304.3895,2213892.374,1,245726.2633,785852.8391,1,"Axin interactor, dorsalization-associated protein",Aida
Q9Z0X1,166260000,134080000,84262000,100460000,172560000,180800000,95561000,131200000,138600000,97241000,159160000,169520000,136480000,148250000,"Apoptosis-inducing factor 1, mitochondrial",Aifm1
Q8BUE4,131037.7815,47620.69638,399697.8433,266060.7876,162854.5534,3029703.751,3663688.74,1616446.635,7233553.385,1111564.434,11737311.8,713756.3205,5286014.549,317382.4654,Apoptosis-inducing factor 2,Aifm2
P31230,115490000,240200000,130770000,200840000,254060000,294140000,232180000,218120000,217880000,182780000,225820000,199460000,192470000,207340000,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2,Aimp1
Q8R010,60262000,107170000,76051000,78150000,155630000,140950000,119140000,158400000,93399000,75726000,130320000,114830000,130680000,122530000,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,Aimp2
O08915,7149441.322,56530778.95,91491150.78,84886988.25,39662141.25,54538781.86,75779367.34,86618728.03,93313736.12,77312650.66,29723191.37,47319178.64,45162957.7,51008547.37,AH receptor-interacting protein,Aip
Q91XC0,1,1,3603482.195,4250861.858,1,1,8494035.959,5516392.928,3979845.429,2450028.153,1,1,1,1,LIM domain-containing protein ajuba,Ajuba
Q9R0Y5,7124253.971,4482396.204,63197417.41,38193362.63,6849131.22,7239814.231,37014786.38,28852964.75,20821594.95,38831500.24,20608581.53,28011615.9,26300007.4,22171921.89,Adenylate kinase isoenzyme 1,Ak1
Q9WTP6,225560000,363740000,143890000,150580000,455390000,427080000,261430000,263860000,215290000,185920000,355330000,288120000,314290000,309370000,"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed",Ak2
Q9WTP7,115700000,163800000,114100000,125640000,151100000,125950000,154470000,137520000,134340000,110830000,140090000,125610000,148270000,185940000,"GTP:AMP phosphotransferase AK3, mitochondrial",Ak3
Q9WUR9,2010727.408,492483.8215,53379664.44,64288183.99,18434949.45,12303960.71,46537583.1,55047066.45,56544668.86,45053076.08,5121441.298,1,1212586.32,1120765.947,"GTP:AMP phosphotransferase AK4, mitochondrial",Ak4
O08715,3644868.61,5320327.751,2386307.928,1,22047689.54,21244441.1,13897926.96,1,8239609.631,10657641.58,32670783.48,20652407.84,1,9358024.181,"A-kinase anchor protein 1, mitochondrial",Akap1
O88845,1,1,305680.1934,283540.9217,238454.3462,227924.6492,394984.9039,352762.1323,1,1,1,518768.7567,897947.3249,729826.5218,"A-kinase anchor protein 10, mitochondrial",Akap10
O54931,8889722.492,14506273.12,37991384.82,43426447.35,4538912.554,7276534.796,29000366.67,25183004.51,43550747.93,39776170.76,1,1,1,1,A-kinase anchor protein 2,Akap2
Q9DBR0,132270000,41446000,43293000,31806000,50209000,51032000,63490000,44569000,46691000,48194000,50772000,45439000,40721000,42065000,A-kinase anchor protein 8,Akap8
Q70FJ1,110807.8662,503711.5871,1468077.251,1484228.935,284826.719,1017159.648,865498.1009,253110.8617,563965.8743,534965.0678,283738.492,1215202.833,1636738.352,1421137.967,A-kinase anchor protein 9,Akap9
Q9JII6,480600000,677720000,357120000,387720000,381510000,447880000,377900000,408460000,352490000,324330000,604930000,558320000,391800000,491580000,Alcohol dehydrogenase [NADP(+)],Akr1a1
P45376,210600000,115600000,240450000,252220000,129440000,160300000,230180000,227930000,200930000,301810000,362290000,206430000,112770000,117970000,Aldose reductase,Akr1b1
P45377,1,442945.5588,777242.4162,255214.8269,212924.4162,5187885.523,6539519.272,4839990.88,4759696.076,3744156.695,9404292.639,9471323.73,10823720.44,7465999.517,Aldose reductase-related protein 2,Akr1b8
Q8VC28,1,1,1,1,1,1,1,1,1,1,14962468.83,7156532.809,10592382.83,6678377.59,Aldo-keto reductase family 1 member C13,Akr1c13
Q9DCT1,1,8382309.54,4908658.118,9951868.824,11323468.95,15145947.28,12394700.19,5799668.422,2554135.391,5005925.653,1,5041921.134,7997529.525,10373545.97,"1,5-anhydro-D-fructose reductase",Akr1e2
Q8CG76,167070000,183950000,163920000,182310000,170300000,152030000,228020000,224510000,258250000,176350000,123790000,107460000,74434000,90233000,Aflatoxin B1 aldehyde reductase member 2,Akr7a2
P31750;Q9WUA6,550284.7681,211558.3222,7660402.203,14221476.79,1779445.121,6389378.292,8795325.093,8547347.232,10900139.28,12533605.62,7854022.942,7129576.003,6681486.646,6646471.609,RAC-alpha serine/threonine-protein kinase,Akt1
Q9D1F4,6584962.187,9565511.89,1,1,8423976.901,5428472.081,5486745.511,11852695.46,6977776.373,7133759.37,24810537.84,10395842.34,23265314.78,26601839.43,Proline-rich AKT1 substrate 1,Akt1s1
Q64362,1676583.066,19986783.66,1305612.656,1,14247710.93,14892914.82,1,1,1,1,12243970.13,16574442.13,17811009.58,17038249.57,AKT-interacting protein,Aktip
P10518,93314000,163680000,37301000,36096000,137900000,106410000,45744000,69586000,22195000,26019000,71662000,66556000,147740000,156300000,Delta-aminolevulinic acid dehydratase,Alad
P07724,1.39E+10,1.34E+10,6031500000,6051300000,1.80E+10,1.57E+10,5489400000,5481700000,4748100000,5421900000,6031600000,4568800000,7263100000,7123500000,Serum albumin,Alb
Q61490,47860674.62,59530293.53,592417.1023,206170.6345,59215337.63,57916662.39,10883104.28,5451884.647,4872776.439,11592120.1,100111691,94773141.31,108276919,118749502.7,CD166 antigen,Alcam
Q571I9,16923781.24,4556431.41,12387925.4,9701230.968,46817121.63,24740609.17,20369849.31,23371163.22,11623494.62,16635246.54,11542279.45,12769039.67,19311228.96,23193369.07,Aldehyde dehydrogenase family 16 member A1,Aldh16a1
Q9Z110,42960000,50733000,58873000,62136000,1.31E+08,113040000,101260000,93747000,123450000,89530000,69575000,76918000,50229000,48733000,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,Aldh18a1
Q9JHW9,75938685.97,85948885.68,1,1,38415644.66,33325198.38,1,1,1,1,1,1,1,1,Aldehyde dehydrogenase family 1 member A3,Aldh1a3
O35945;P24549,1,1,3676525.753,6626991.507,1,2528164.607,8170858.299,4120863.782,1,1077102.752,6942725.714,5935489.335,7830728.164,5158285.503,"Aldehyde dehydrogenase, cytosolic 1;Retinal dehydrogenase 1",Aldh1a7;Aldh1a1
Q8R0Y6,1,1040153.812,3360003.669,2262679.196,72103.30229,1,1217388.358,96107.98966,3719266.99,4219995.453,53271177.25,27922259.08,2250825.504,1536364.137,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Aldh1l1
Q8K009,745686.824,889143.7674,3526835.592,4168208.578,1,1,5505093.246,5907182.224,3687451.919,3324055.409,1,1,1,1,Mitochondrial 10-formyltetrahydrofolate dehydrogenase,Aldh1l2
P47738;Q9CZS1,746180000,1641700000,3316800000,3528900000,1054500000,975320000,3274700000,3396100000,2921600000,2607800000,211510000,292740000,202160000,200780000,"Aldehyde dehydrogenase, mitochondrial",Aldh2
P47740,48112000,65992000,122890000,128280000,78117000,84793000,111230000,118810000,121900000,95615000,551090000,426780000,300980000,338130000,Fatty aldehyde dehydrogenase,Aldh3a2
Q8CHT0,10434000,5946700,15950000,13653000,6020100,6903700,14816000,12761000,7543600,23410000,9653000,6129500,3133300,2712100,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",Aldh4a1
Q8BWF0,15447143.37,4999826.079,5317440.004,4126942.802,28796171.04,23169956.44,10158207.78,10645268.72,8205506.029,5256776.125,10891189.11,9667010.174,6576242.931,3264300.9,"Succinate-semialdehyde dehydrogenase, mitochondrial",Aldh5a1
Q9EQ20,171970000,151080000,111940000,121910000,85003000,96604000,124760000,129700000,151140000,125760000,130280000,96477000,55752000,59646000,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",Aldh6a1
Q9DBF1,72502000,134600000,155360000,177610000,124740000,110460000,163500000,210480000,180490000,140460000,125940000,97209000,73170000,68394000,Alpha-aminoadipic semialdehyde dehydrogenase,Aldh7a1
Q9JLJ2,126060000,129780000,158090000,134990000,79767000,87076000,120820000,126850000,115380000,129840000,175170000,157910000,102070000,93720000,4-trimethylaminobutyraldehyde dehydrogenase,Aldh9a1
P05064,1038300000,1192200000,986080000,1173300000,490740000,480190000,830700000,821370000,894020000,832040000,1096400000,1012700000,1830800000,2118200000,Fructose-bisphosphate aldolase A,Aldoa
P05063,1338100000,1135100000,1950100,6163700,407130000,443410000,1568600,2255600,2357000,1563600,50533000,50943000,12538000,25627000,Fructose-bisphosphate aldolase C,Aldoc
Q921Q3,1,1,1,1,1,1,1,1,1,1,736341.261,3923363.442,1040473.13,1760617.603,Chitobiosyldiphosphodolichol beta-mannosyltransferase,Alg1
Q9DBE8,9162000,30546000,21133000,25452000,44041000,25041000,40769000,37132000,25236000,31756000,68262000,62704000,26768000,21250000,"Alpha-1,3/1,6-mannosyltransferase ALG2",Alg2
Q9DB25,28167461.76,43608641.48,6727650.161,6230645.291,26069178.52,18171022.39,25017298.57,28213491.36,7616321.439,14469447.64,8144852.031,1,5032833.912,4582610.448,Dolichyl-phosphate beta-glucosyltransferase,Alg5
Q8VDI9,1753322.097,742965.0643,2394933.401,1364326.901,4916986.518,3487013.643,2553425.407,2887493.497,1,3900221.616,5977225.541,2460457.513,3021338.575,2465739.779,"Alpha-1,2-mannosyltransferase ALG9",Alg9
P55249,1,1,1,1,42169384.37,47439472.65,1,1,1,1,613050.0331,1,1,1,"Arachidonate 12-lipoxygenase, epidermal-type",Alox12e
P39654,1,1,1,13371815.67,2385593.459,2264434.835,1,4121424.724,1,1,13359469.99,8293710.665,95761852.59,54085195.52,"Arachidonate 12-lipoxygenase, leukocyte-type",Alox12l
P09242,292100000,519110000,802850000,935910000,69534000,55456000,248850000,317650000,189810000,193900000,4618900,11284000,4413700,1235200,"Alkaline phosphatase, tissue-nonspecific isozyme",Alpl
O08583;Q9JJW6,87476000,267860000,168570000,203800000,313580000,261010000,266740000,324210000,288660000,182610000,217290000,243640000,194800000,208980000,THO complex subunit 4,Alyref
O09174,1280906.261,1014853.914,3649666.687,1622511.89,955122.381,4006758.781,4737642.87,2693173.986,13882858.23,3579683.379,1,1213854.993,1,1,Alpha-methylacyl-CoA racemase,Amacr
Q9R049,3658521.567,12116596.32,7208383.772,7794606.035,14437460.41,13462149.95,9633526.913,12025652.44,9911134.839,7542076.163,11473502.3,11102709.7,10866910.07,11455158.72,E3 ubiquitin-protein ligase AMFR,Amfr
Q8JZZ6,1,1,1,1,16306455.29,4822325.613,3010766.861,2930639.253,1,1,1,1,1,1,AMMECR1-like protein,Ammecr1l
Q9DBT5,2107757.558,4044717.488,4993930.194,8006899.586,4441862.82,4683980.628,3505318.811,4768003.378,7491125.323,12062225.86,1190057.565,2030346.697,3187395.287,1264980.98,AMP deaminase 2,Ampd2
O08739,498332.9145,1,1,1,1,1,1,1,1,1,3589675.929,2307552.519,565635.3284,1,AMP deaminase 3,Ampd3
Q8CFA2,30184803.79,21802279.33,1,1,70440556.85,73766163.36,1,1,1,1,55224775.8,41879894.22,17624847.34,24452743.72,"Aminomethyltransferase, mitochondrial",Amt
P53995,14064000,27815000,35415000,45640000,78894000,57893000,58830000,76731000,65695000,47183000,50462000,58402000,39955000,32068000,Anaphase-promoting complex subunit 1,Anapc1
Q8BZQ7,1641932.803,7710276.735,11261154.82,4419941.985,16562954.58,18235823.39,18824133.05,17864119.32,18725569.65,12552078.61,9432622.274,7962241.791,7454928.67,5579444.45,Anaphase-promoting complex subunit 2,Anapc2
Q91W96,1,1527928.777,4201915.292,4722801.133,7679228.943,5737048.256,6921280.93,12046687.75,11786384.19,8760019.543,2992133.506,10079349.47,5832090.432,3438781.035,Anaphase-promoting complex subunit 4,Anapc4
Q8BTZ4,1031433.789,273467.5411,6734419.519,6506602.561,14718709.64,11539720.38,13310799.42,11243138.95,16373767.34,10351244.73,3548245.885,7521947.292,3637461.101,2740951.654,Anaphase-promoting complex subunit 5,Anapc5
Q9WVM3,590702.2275,1,1277661.758,1,2191193.992,3470453.388,3251154.388,2487542.154,396153.718,652988.3678,2426195.82,1742358.152,2415243.988,4122526.205,Anaphase-promoting complex subunit 7,Anapc7
Q8K1C0,1,1,1,1,9465724.045,1,3150145.275,2180333.152,4839121.569,657383.6655,3520080.004,5806695.706,807844.8042,1,Protein angel homolog 2,Angel2
Q8C8R3,823343.8993,55050.07483,1668428.416,615967.7894,30237.66709,161549.9138,3781758.029,5036320.431,4692835.068,3195062.974,1488255.634,1778050.96,1469986.634,1665492.2,Ankyrin-2,Ank2
Q810B6,18819000,34347000,44390000,49352000,58650000,40297000,59657000,48473000,64178000,53647000,54665000,47510000,50153000,51643000,Ankyrin repeat and FYVE domain-containing protein 1,Ankfy1
Q6P1H6,1,1,1,1,490521.155,444082.2601,1,1,3328107.654,988941.9968,2742406.952,2550613.054,766194.1073,817248.9093,Ankyrin repeat and LEM domain-containing protein 2,Ankle2
Q3TPE9,1572938.294,700231.5081,6177476.037,5754932.449,641675.7405,589421.6388,5877005.068,4556060.953,2868427.004,4952290.28,730331.4482,3131182.784,3953986.54,3438644.295,Ankyrin repeat and MYND domain-containing protein 2,Ankmy2
Q99LW0,1,1398231.072,17172333.04,26956655.26,2224493.9,2319052.818,3186969.502,10758391.94,20503892.98,7995619.932,3540876.904,1,1,1,Ankyrin repeat domain-containing protein 10,Ankrd10
Q80UP5;Q6PD24,1,4723418.905,3962476.543,1,8432226.879,5181919.716,2225161.883,2770957.885,4385094.937,6532431.676,10608384.02,1821281.69,10598340.03,1,Ankyrin repeat domain-containing protein 13A,Ankrd13a
Q99NH0,18288000,26385000,21501000,23093000,41230000,40416000,37798000,35353000,31120000,46695000,33562000,41229000,30443000,34659000,Ankyrin repeat domain-containing protein 17,Ankrd17
Q505D1,1381373.189,1849247.013,1,1,15911206.37,7718415.88,1625480.627,2023877.199,1,1,1013283.916,5172212.363,2901549.383,1,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,Ankrd28
P59672,1,1395645.284,1870526.511,3101019.611,2376368.484,2744682.223,2997891.257,3001177.656,4045808.975,1264380.657,2457309.292,2727479.653,770959.8604,62790.9703,Ankyrin repeat and SAM domain-containing protein 1A,Anks1a
Q8BHY3,224960000,224820000,18425000,19215000,89818000,91551000,14664000,23151000,16513000,16630000,136580000,143520000,93100000,76189000,Anoctamin-1,Ano1
Q8BH79,1572090869,10043610562,3117398607,9109511387,1586620649,3777589541,1298311529,833138472.6,3789897343,1894118536,1090199694,2008232132,1997495937,2678871731,Anoctamin-10,Ano10
Q6P9J9,12239000,27808000,36784000,46565000,19844000,20118000,36178000,39988000,30627000,22814000,23297000,28262000,37239000,35336000,Anoctamin-6,Ano6
O35381;Q64G17,638770000,639390000,487370000,387110000,570920000,606350000,505030000,461800000,503070000,454640000,581010000,514030000,553570000,619140000,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Anp32a
Q9EST5,211310000,438830000,223570000,290320000,453530000,526120000,341080000,391270000,564910000,277270000,2.87E+08,281750000,252300000,255860000,Acidic leucine-rich nuclear phosphoprotein 32 family member B,Anp32b
P97822,58456000,125740000,117530000,118870000,216620000,191240000,187960000,258080000,137360000,144340000,149860000,175490000,135310000,1.49E+08,Acidic leucine-rich nuclear phosphoprotein 32 family member E,Anp32e
P97449,1358700000,2468400000,520610000,560540000,1178700000,1022800000,179640000,235950000,177440000,203980000,57254000,77934000,406560000,439750000,Aminopeptidase N,Anpep
P10107,1862600000,2131600000,623540000,591340000,1646400000,1714200000,405940000,425610000,314230000,287010000,1112100000,1019600000,2125700000,2273300000,Annexin A1,Anxa1
P97384,71952000,99470000,117090000,148060000,103380000,92362000,97050000,106530000,83759000,66947000,157470000,116200000,104960000,115290000,Annexin A11,Anxa11
P07356,2086200000,2980300000,1805900000,1850200000,1594900000,1504500000,922340000,981100000,848070000,731490000,1.60E+09,1467600000,3930100000,3.53E+09,Annexin A2,Anxa2
O35639,150720000,151010000,412340000,446760000,119290000,108770000,225950000,286660000,191540000,226550000,993910000,807120000,1338600000,1384200000,Annexin A3,Anxa3
P97429,433630000,351810000,240270000,239900000,339090000,306310000,240010000,233910000,210470000,193530000,446600000,362990000,381680000,374620000,Annexin A4,Anxa4
P48036,549350000,824780000,1534200000,1368100000,664080000,580590000,1108400000,1372700000,1018800000,894170000,516740000,473440000,489650000,483740000,Annexin A5,Anxa5
P14824,1704800000,1560900000,5535100000,5.93E+09,1976700000,1795500000,4350400000,4477700000,4745300000,4494200000,2181400000,2320300000,2589600000,2549200000,Annexin A6,Anxa6
Q07076,189910000,181810000,138320000,183330000,96258000,95192000,146310000,129260000,156790000,107410000,148450000,126030000,203790000,213630000,Annexin A7,Anxa7
O35640,172111995.2,191130593.6,1,1,1,1,1,1,1,1,1,1,7312452.508,8405402.753,Annexin A8,Anxa8
Q9JHQ0,36382775.28,36952277.67,1,965266.1515,31307164.15,33478457.88,1,1,1,1,376292.8843,1,1,1,Annexin A9,Anxa9
O70423;Q812C9,1,1,338850048.3,356224682.6,1,1,132110134.8,105723463.1,98151062.77,97792190.24,916422.7637,1,173021.6614,1,Membrane primary amine oxidase,Aoc3
O35643,231950000,269880000,193950000,229680000,310750000,267990000,203120000,246780000,210450000,203320000,271210000,340660000,292450000,327620000,AP-1 complex subunit beta-1,Ap1b1
P22892,91740000,100990000,69583000,68682000,138340000,91620000,73784000,73311000,57983000,57965000,1.15E+08,140070000,152850000,153570000,AP-1 complex subunit gamma-1,Ap1g1
O88512,6726905.856,8689882.27,273067.1728,568408.678,17013703.35,15935902.29,534942.7194,79845.35853,1472692.237,284630.5652,6319801.247,6152641.384,6594114.505,8252709.845,AP-1 complex subunit gamma-like 2,Ap1g2
P35585,11186000,8140900,13091000,15917000,8206600,7364700,10315000,7971500,8225400,21082000,12494000,8448900,8359700,3188900,AP-1 complex subunit mu-1,Ap1m1
Q9WVP1,64936000,92741000,18819000,17820000,102280000,88800000,18840000,34164000,28689000,25561000,95766000,95498000,102820000,93569000,AP-1 complex subunit mu-2,Ap1m2
P61967,122652983,67698663.1,11579969.75,30199487.94,59484586.89,65629009.61,31283211.26,29903327.85,28385863.52,23989407.79,50624894.55,51487499.58,53232469.95,73210552.04,AP-1 complex subunit sigma-1A,Ap1s1
P17426,134660000,170260000,218210000,238640000,219480000,184550000,238390000,219890000,273630000,184900000,248030000,268890000,216080000,253590000,AP-2 complex subunit alpha-1,Ap2a1
P17427,84332000,102540000,100900000,114010000,119170000,111440000,134500000,142420000,176910000,98889000,85103000,94253000,50499000,65411000,AP-2 complex subunit alpha-2,Ap2a2
Q9DBG3,127010000,125550000,172140000,153440000,188390000,145380000,155830000,171730000,142220000,115480000,144330000,194090000,150930000,160620000,AP-2 complex subunit beta,Ap2b1
P84091,47155000,62279000,87233000,76822000,75915000,64261000,96533000,66943000,82832000,61749000,80852000,76374000,70787000,65372000,AP-2 complex subunit mu,Ap2m1
P62743,31027520.76,23495290.28,36481381.22,55208495.95,66071068.83,70210337.23,50040391.17,44202663.47,44508341.16,61564744.68,42602531.35,38835771.93,58281189.71,34916082.23,AP-2 complex subunit sigma,Ap2s1
